Janeiro

21/10/2022 - R$ 5,147  -1.355%

24/10/2022 - R$ 5,302  3.023%

25/10/2022 - R$ 5,318  0.292%

26/10/2022 - R$ 5,381  1.179%

27/10/2022 - R$ 5,308  -1.346%

28/10/2022 - R$ 5,301  -0.145%

31/10/2022 - R$ 5,165  -2.549%

Novembro

01/11/2022 - R$ 5,119  -0.906%

02/11/2022 - R$ 5,119  0%

03/11/2022 - R$ 5,125  0.131%

04/11/2022 - R$ 5,059  -1.294%

07/11/2022 - R$ 5,171  2.222%

08/11/2022 - R$ 5,146  -0.501%

09/11/2022 - R$ 5,182  0.7%

10/11/2022 - R$ 5,394  4.105%

11/11/2022 - R$ 5,335  -1.103%

14/11/2022 - R$ 5,299  -0.664%

15/11/2022 - R$ 5,299  0%

16/11/2022 - R$ 5,381  1.534%

17/11/2022 - R$ 5,401  0.372%

18/11/2022 - R$ 5,374  -0.498%

21/11/2022 - R$ 5,310  -1.184%

22/11/2022 - R$ 5,376  1.245%

23/11/2022 - R$ 5,373  -0.052%

24/11/2022 - R$ 5,310  -1.18%

25/11/2022 - R$ 5,410  1.889%

28/11/2022 - R$ 5,365  -0.847%

29/11/2022 - R$ 5,288  -1.426%

30/11/2022 - R$ 5,202  -1.634%

Dezembro

01/12/2022 - R$ 5,197  -0.096%

02/12/2022 - R$ 5,215  0.358%

05/12/2022 - R$ 5,282  1.283%

06/12/2022 - R$ 5,269  -0.254%

07/12/2022 - R$ 5,205  -1.215%

08/12/2022 - R$ 5,216  0.217%

09/12/2022 - R$ 5,245  0.556%

12/12/2022 - R$ 5,312  1.279%

13/12/2022 - R$ 5,315  0.047%

14/12/2022 - R$ 5,302  -0.246%

15/12/2022 - R$ 5,315  0.249%

16/12/2022 - R$ 5,294  -0.397%

19/12/2022 - R$ 5,308  0.28%

20/12/2022 - R$ 5,206  -1.927%

21/12/2022 - R$ 5,203  -0.06%

22/12/2022 - R$ 5,186  -0.333%

23/12/2022 - R$ 5,166  -0.39%

26/12/2022 - R$ 5,209  0.84%

27/12/2022 - R$ 5,285  1.467%

28/12/2022 - R$ 5,253  -0.605%

29/12/2022 - R$ 5,278  0.47%

30/12/2022 - R$ 5,278  0%
